Annual accounts for 2017	Comptes anuals 2017
Income for the provision of services is recorded when the results of the transaction can be reliably estimated, by considering the degree of progress or performance of the provision on the date of the annual accounts or under the straight-line	transacció pot ser estimat amb fiabilitat, considerant el grau d'avanç o realització de la prestació a la data dels comptes anuals, o de forma lineal quan el servei es
method where the service is provided during a specific period.	presta durant un període determinat.
Where the results cannot be reliably estimated, the income is entered in the	Quan no pot ser estimat de forma fiable, els ingressos són reconeguts en la
accounts according to the total expenditure recognised that is deemed recoverable.	quantia de les despeses reconegudes que es consideren recuperables.
b) Income without consideration	b) Ingressos sense contraprestacions
In the case of taxes, income is entered in the accounts, as is the asset, when the	En el cas dels impostos es reconeixerà l'ingrés i l'actiu quan tingui lloc el fet
taxable transaction takes place and the asset's recognition criteria are satisfied.	imposable i es satisfacin els criteris de reconeixement de l'actiu.
As for fines and penalties, these are entered in the accounts when the right to receive them arises.	En el cas de les multes i sancions es reconeixen quan sorgeix el dret a cobrar-les.
In the case of fines, the right to collect is recognised as soon as the enforcement	Per a les multes el dret de cobrament es reconeix en el moment que s'estableix
of the act is established.	l'executivitat de l'acte d'imposició.
4.12.2. Expenditure	4.12.2. Despeses
Staff and other ordinary management expenses are entered in the Income and Expenditure Account when the obligation falls due, irrespective of when the current monetary expense that comes from it is incurred.	Les despeses de personal i altres despeses de gestió ordinària es reconeixen en el compte del resultat en el moment que merita l'obligació, amb independència del moment en què es produeixi el corrent monetari que se'n deriva.
4.13. Provisions and contingencies	4.13. Provisions i contingències
A provision is entered in the accounts where the City Council has a present (legal, contractual or implied) obligation resulting from a past event which will probably involve the delivery of resources that can be reliably estimated.	Es reconeix una provisió quan l'Ajuntament té una obligació present (legal, contractual o implícita) resultat d'un succés passat que, probablement, implicarà el lliurament d'uns recursos que es poden estimar de forma fiable.
Provisions are valued according to the current value of the payments expected to be necessary for settling the obligation, updated to a rate of discount equivalent to the type of public debt for an analogous maturity. Adjustments to provisions for the purposes of their updating are entered in the accounts as a financial expense as they are reported. Where the maturity is under or equal to one year and the financial effect is not significant they are not discounted.	Les provisions es troben valorades pel valor actual dels desemborsaments que s'espera que seran necessaris per liquidar l'obligació, actualitzats a una taxa de descompte equivalent al tipus de deute públic per un venciment anàleg. Els ajustaments en la provisió amb motiu de la seva actualització es reconeixen com una despesa financera a mesura que es van reportant. Quan el seu venciment és inferior o igual a un any i l'efecte financer no és significatiu, no es descompten.
Provisions or contingencies arising from claims, procedures, lawsuits or litigation, or that have had a ruling or been settled in the tax year, are not recorded if their estimated amount is fully covered by current insurance policies or similar instruments,	Les provisions o contingències provinents de reclamacions, procediments, judicis o litigis en procés, o que hagin tingut sentència o hagin estat resolts en l'exercici, no es registren si el seu import estimat en contra es troba íntegrament cobert mitjançant pòlisses vigents o similars.
Provisions are subject to review and adjusted, where necessary, at the close of the financial year, to reflect the best existing estimate at the time. Where they are no longer relevant or probable, they are then reverted under a balancing entry in the financial year's corresponding income account.	Al tancament de l'exercici, les provisions són objecte de revisió i ajustades, si escau, per a reflectir la millor estimació existent en aquest moment. Quan no són ja pertinents o probables, es procedeix a la seva reversió amb contrapartida al corresponent compte d'ingrés de l'exercici.
For the purposes of quantifying the provisions, reference is made to internal and external expert reports and to the City Council's experience in similar matters, which enable a basis to be established for the estimates of each of the possible outcomes, as well as their financial effects.	Per a la quantificació de les provisions, es recorre a informes interns i, si escau, d'experts externs, i a l'experiència de l'Ajuntament en successos similars, que permetin establir la base de les estimacions de cadascun dels desenllaços possibles, així com del seu efecte financer.
As regards consortia, the existing risk is recorded, according to the City Council's share, in the organisations that have a negative net equity.	En el cas dels consorcis es recull el risc existent, en funció de la participació de l'Ajuntament, en aquells ens que tenen un patrimoni net negatiu.
4.14. Transfers and subsidies	4.14. Transferències i subvencions
4.14.1. Transfers and subsidies received	4.14.1. Transferències i subvencions rebudes
Refundable subsidies are entered in the accounts as liabilities until they meet the conditions for consideration as non-refundable, whereas non-refundable subsidies are recorded as income allocated to net equity and are entered in the accounts as income on a systematic and rational basis that correlates to subsidy-derived expenditure.	Les subvencions que tinguin caràcter reintegrable es registren com a passius fins que compleixin les condicions per a considerar-se no reintegrables, mentre que les subvencions no reintegrables es registren coma ingressos directament imputats al patrimoni net i es reconeixen com a ingressos sobre una base sistemàtica i racional de forma correlacionada amb les despeses derivades de la subvenció.
For these purposes, a subsidy is deemed non-refundable where there is a customised agreement for granting it and where all the conditions established for granting it have been met and there are no reasonable doubts that it will be received.	A aquests efectes, una subvenció es considera no reintegrable quan existeix un acord individualitzat de concessió de la subvenció i s'han complert totes les condicions establertes per a la seva concessió i no existeixen dubtes raonables de que es cobrarà.
Monetary subsidiaries are valued according to the fair value of the referred amount granted when entered in the accounts.	Les subvencions de caràcter monetari es valoren pel valor raonable de l'import concedit referit al moment del seu reconeixement.
Non-refundable grants relating to the purchase of tangible fixed assets are	Les subvencions no reintegrables relacionades amb l'adquisició de l'immobilitzat material s'imputen com a ingressos de l'exercici en proporció a l'amortització dels corresponents actius o, en el seu cas, quan es produeixi la venda, correcció valorativa per deteriorament o baixa en el balanç.
allocated as income for the financial year in proportion to the depreciation of the corresponding assets or, where appropriate, where there is a sale, valuation	D'altra banda, les subvencions no reintegrables relacionades amb despeses específiques es reconeixen en el compte del resultat econòmic patrimonial en el mateix exercici en què es meriten les corresponents despeses.
adjustment for impairment or a shortfall in the balance sheet.	Al tancament de l'exercici es considera que no existeixen dubtes raonables envers el compliment de les condicions i requisits associats a les subvencions rebudes, pel que han estat considerades com a no reintegrables i, per tant, han estat
On the other hand, non-refundable subsidies relating to specific expenditure are	registrades directament com a ingressos en el patrimoni net.
entered in the Income and Expenditure Account in the same financial year that the payment for the corresponding expenditure falls due.	
At the close of the financial year, there are considered to be no reasonable doubts regarding compliance with the conditions and requirements associated with the subsidies received. They are thus considered to be non-returnable and directly recorded as income in net equity.	
4.14.2. Transfers and subsidies granted	4.14.2. Transferències i subvencions atorgades
Authorised transfers and subsidies are entered in the accounts as expenditure as	Les transferències i subvencions atorgades es comptabilitzen com a despeses en el moment que es tingui constància que s'han complert les condicions establertes per a la seva percepció. En cas que al tancament de l'exercici estigui pendent el
soon as it is recorded that the conditions established for their receipt have been	compliment d'alguna de les condicions establertes per a la seva percepció, però
met. Where one of the conditions established for their receipt is yet to be met at the close of the financial year, but there is no reasonable doubt as to future	no existeixin dubtes raonables sobre el seu futur compliment, es dota una provisió pels corresponents imports, amb la finalitat de reflectir la despesa.
compliance, a provision for the corresponding amounts is given, for the purposes	
of reflecting expenditure.	
4.15. Joint activity	4.15. Activitats conjuntes
The City Council has not carried out any joint activity during the financial year.	L'Ajuntament no ha realitzat cap activitat conjunta en l'exercici.
4.16. Assets under sale	4.16. Actius en estat de venda
The City Council has no assets under sale.	L'Ajuntament no té actius en estat de venda.
5. Tangible fixed assets	5. Immobilitzat material
5.1. Movements during the financial year.	5.1. Moviment de l'exercici
5.2. Financial year information	5.2. Informació de l'exercici
The most important investments in the financial year correspond to:	Les inversions més rellevants de l'exercici corresponen a:
At the close of the financial year, the acquisition cost of the goods that were fully depreciated and which remained in use amounted to €317,017,233.10.	Al tancament de l'exercici, el cost d'adquisició de béns que es troben totalment amortitzats i que segueixen en ús ascendeix a 317.017.233,10 euros.
The period of useful life for immovable property starts from the month following the one in which the asset's operational status is registered in the system; as for movable property and infrastructure, it starts the following year.	El període de vida útil dels béns immobles comença a partir del mes següent a aquell en què s'ha registrat en el sistema la posada en funcionament de l'actiu; en el cas dels béns mobles i de les infraestructures és a partir de l'any següent.
Extension, modernisation and improvement costs are added to the accounting value at their conclusion. These costs are depreciated for the remaining years of depreciation of the main element.	Respecte als costos d'ampliació, modernització o millora s'afegeixen a l'import del valor comptable de l'element a la finalització de l'actuació. L'amortització d'aquests costos es porta a terme per els anys restants d'amortització de l'element principal.
The financial year 2017 saw no large-scale repairs or general inspections and no decommissioning of any asset or site restoration; no costs were capitalised for work carried out by the City Council for its immovable property.	En l'exercici 2017 no s'han realitzat grans reparacions o inspeccions generals, ni desmantellament de l'actiu, ni restauració del seu emplaçament, ni s'han activat costos per treballs realitzats per l'Ajuntament per al seu immobilitzat.
5.3. Circumstances that affect tangible fixed asset ownership	5.3. Circumstàncies que afecten a la titularitat de l'immobilitzat material
There is no restriction on the ownership of the goods that make up the City Council's tangible fixed assets and none of these assets is subject to litigation or has been pledged as a guarantee for debt payments.	No existeix cap tipus de restricció sobre la titularitat dels béns que integren l'immobilitzat material de l'Ajuntament ni cap d'ells es troba sotmès a litigi o ha estat ofert en garantia del pagament de deutes.
5.4. Infrastructures	5.4. Infraestructures
The breakdown of the infrastructure costs item are as follows:	El detall del cost de l'epígraf d'infraestructures és com segueix:
5.5. Other substantive circumstances	5.5. Altres circumstàncies de caràcter substantiu
During the course of the 2017 financial year, the Government Commission agreed to acquire eight estates for a total of €48,040,206.55.	Al llarg de l'exercici 2017 la Comissió de Govern va acordar l'adquisició de vuit finques per un import total de 48.040.206,55 euros.
As a result of circumstances involved in the various transactions, the legal	
conveyances of the above-mentioned estates were not completed by the date of these annual accounts. Notwithstanding that fact, the assets were incorporated into the City Council's equity given that the risks and benefits inherent in ownership thereof had been conveyed and there was no rational uncertainty or possibility of the contract contract's rescission.	A conseqüència de circumstàncies concurrents en les diferents operacions, a data d'aquests comptes anuals no han estat perfeccionades les transmissions jurídiques de les finques relacionades. No obstant això, els béns han estat incorporats al patrimoni de l'Ajuntament ja que s'han transmès els riscos i els avantatges inherents a la propietat dels actius no existint, per tant, en termes racionals d'incertesa, la possibilitat de rescissió contractual.
6. Public land assets	6. Patrimoni públic del sòl
6.1. Financial year variations	6.1. Moviment de l'exercici
6.2. Financial year information	6.2. Informació de l'exercici
The most important investments in the financial year correspond to:	Les inversions més rellevants de l'exercici corresponen a:
The period of useful life starts from the month following the one in which the	El període de vida útil comença a partir del mes següent a aquell en què s'ha
asset's operational status is registered with the system.	registrat en el sistema la posada en funcionament de l'actiu.
Extension, modernisation and improvement costs are added to the accounting value at their conclusion. These costs are depreciated for the remaining years of depreciation of the main element.	Respecte als costos d'ampliació, modernització o millora s'afegeixen a l'import del valor comptable de l'element a la finalització de l'actuació. L'amortització d'aquests costos es porta a terme per els anys restants d'amortització de l'element principal.
The financial year 2017 saw no large-scale repairs or general inspections and no decommissioning of any asset or site restoration; no costs were capitalised for work carried out by the City Council for its immovable property.	En l'exercici 2017 no s'han realitzat grans reparacions o inspeccions generals, ni desmantellament de l'actiu, ni restauració del seu emplaçament, ni s'han activat costos per treballs realitzats per l'Ajuntament per al seu immobilitzat.
7. Property investments	7. Inversions immobiliàries
7.1. Financial year variations	7.1. Moviment de l'exercici
7.2. Financial year information	7.2. Informació de l'exercici
The period of useful life starts from the month following the one in which the asset's operational status is registered with the system.	El període de vida útil comença a partir del mes següent a aquell en què s'ha registrat en el sistema la posada en funcionament de l'actiu.
Extension, modernisation and improvement costs are added to the accounting value at their conclusion. These costs are depreciated for the remaining years of depreciation of the main element.	Respecte als costos d'ampliació, modernització o millora s'afegeixen a l'import del valor comptable de l'element a la finalització de l'actuació. L'amortització d'aquests costos es porta a terme per els anys restants d'amortització de l'element principal.
The financial year 2017 saw no large-scale repairs or general inspections and no decommissioning of	En l'exercici 2017 no s'han realitzat grans reparacions o inspeccions generals, ni desmantellament
any asset or site restoration; no costs were capitalised for work carried out by the City Council for its	de l'actiu, ni restauració del seu emplaçament, ni s'han activat costos per treballs realitzats per
immovable property.	l'Ajuntament per al seu immobilitzat.
7.3. Description of property investments	7.3. Descripció de les inversions immobiliàries
This includes buildings that bring in significant rent such as the Convention Centre, the Auditorium of	Recull aquells immobles pels quals s'obtenen rendes significatives com són el Centre de Convencions,
the Forum Building and the Forum Port, as well the building intended for the Ecopark - land site.	l'Auditori de l'edifici Fòrum, el Port del Fòrum, així com l'immoble destinat a Ecopark - solar.
8. Intangible fixed assets	8. Immobilitzat intangible
8.1. Financial year information	8.1. Moviment de l'exercici
8.2. Description of intangible fixed assets	8.2. Descripció de l'immobilitzat intangible
The breakdown of the “other intangible fixed assets” item is as follows:	El detall de l'epígraf de “altre immobilitzat intangible” és com segueix:
8.3. Financial year information	8.3. Informació de l'exercici
At the close of the financial year, the acquisition cost of goods that were totally depreciated and remained in use came to €31,506,942.26.	Al tancament de l'exercici el cost d'adquisició de béns que es troben totalment amortitzats i que segueixen en ús ascendeix a 31.506.942,26 euros.
8.4. Circumstances that affect intangible fixed asset ownership	8.4. Circumstàncies que afecten la titularitat de l'immobilitzat intangible
There is no restriction on the ownership of the goods that make up the City Council's intangible fixed assets and none of these assets is subject to litigation or has been pledged as a guarantee for debt payments.	No existeix cap tipus de restricció sobre la titularitat dels béns que integren l'immobilitzat intangible de l'Ajuntament ni cap d'ells es troba sotmès a litigi o ha estat ofert en garantia del pagament de deutes.
9. Financial leases and other similar transactions	9. Arrendaments financers i altres operacions de naturalesa similar
The City Council does not hold any assets under a financial lease.	L'Ajuntament no disposa de béns en règim d'arrendament financer.
10. Financial assets	10. Actius financers
10.1. Information on the balance sheet	10.1. Informació relacionada amb el balanç
a) Reconciliation statement summary between the balance sheet classification of financial assets and the categories established in the 8th regulation on recognising and valuing financial assets:	a) Estat resum de la conciliació entre la classificació dels actius financers del
Breakdown of long-term investments in entities of the group, multi-group and associates are as follows:	balanç i les categories establertes en la norma de reconeixement i valoració 8 d'actius financers:
Financial assets available for sale refer to the City Council's shareholding in	El detall de les inversions en entitats del grup, multigrup i associades és com segueix:
the companies Nauta Tech Invest III, SCR and Port Forum Sant Adrià, SL for €2,910,928.72 and €12,822.99 respectively and other shareholdings for €599.02.	Els actius financers disponibles per a la venda es refereixen a la participació de l'Ajuntament a les societats Nauta Tech Invest III, SCR i Port Fòrum Sant Adrià, SL per 2.910.928,72 euros i 12.822,99 euros, i altres participacions per 599,02 euros.
b) Reclassifications.	b) Reclassificacions.
The City Council did not reclassify any financial asset over the financial year which required a change in valuation, whether in depreciated cost at fair value or the reverse.	L'Ajuntament no ha reclassificat durant l'exercici cap actiu financer que hagi exigit un canvi de valoració, ja sigui de cost amortitzat a valor raonable, o a la inversa.
c) Financial assets delivered under guarantee.	c) Actius financers lliurats en garantia
The City Council did not deliver or keep any financial asset under guarantee of debt payments during or at the close of the financial year.	Durant l'exercici ni a la data de tancament l'Ajuntament no ha lliurat o manté actius financers en garantia del pagament de deutes.
d) Adjustments for impaired value	d) Correccions pel deteriorament del valor
The value reductions due to deterioration correspond to Fira 2000, SA (€50,887,655.50) and Barcelona Emprén CR, SA, (€336,588.40).	Les disminucions de valor per deteriorament de l'exercici corresponen a Fira 2000, SA, per import de 50.887.655,50 euros i a Barcelona Emprèn CR, SA, per import de 336.588,40 euros.
10.2. Information on the Income and Expenditure Account	10.2. Informació relacionada amb el compte del resultat econòmic-patrimonial.
a) Net results obtained in the financial year from the various categories of financial assets.	a) Resultats nets obtinguts en l'exercici de les diferents categories d'actius financers.
The net results obtained for financial assets classed under the category of credit and accounts payable meant an addition to the Profit and Loss Account of €2,448,645.04.	Els resultats nets obtinguts en relació als actius financers que s'han classificat en la categoria de crèdits i partides a cobrar han suposat un abonament al compte de resultats de 5.474.569,33 euros.
b) Financial income calculated by applying the effective interest rate method.	b) Ingressos financers calculats per l'aplicació del mètode del tipus d'interès efectiu.
The Income and Expenditure Account for the year does not contain financial income calculated this way.	El compte del resultat econòmic-patrimonial de l'exercici no recull ingressos financers calculats d'aquesta manera.
10.3.1. Information on exchange rate and interest rate risks	10.3. Informació sobre els riscos de tipus de canvi i de tipus d'interès
a) Exchange rate risks.	a) Riscos de tipus de canvi.
The City Council has no investments and does not keep significant receivables in any currency other than the euro and therefore has no risks of this kind.	L'Ajuntament no té inversions ni manté saldos a cobrar en moneda diferent de l'euro que siguin significatius i, per tant, no té riscos d'aquest tipus.
b) Interest rate risks.	b) Riscos de tipus d'interès.
The City Council does not keep financial assets valued at depreciated cost, so it has no risks of this nature.	L'Ajuntament no manté actius financers valorats a cost amortitzat, de manera que no té riscos d'aquesta naturalesa.
10.4. Other information	10.4. Altra informació
a) Regular credit operations	a) Crèdits d'operacions habituals.
The long-term balance at the close of the financial year for payment yet to be received in the City Council's usual transactions, “receivables and other accounts receivable”, corresponds to deferred tax payments and instalments.	Al tancament de l'exercici, el saldo a llarg termini pendent de cobrament corresponent a les operacions habituals de l'Ajuntament, “deutors i altres comptes a cobrar”, correspon a deutes per ajornaments o fraccionaments de tributs.
	El saldo a curt termini per les operacions habituals, “deutors i altres comptes a cobrar”, es detalla a continuació:
The short-term balance for usual transactions, “receivables and other accounts receivable” is broken down below:	Els imports i moviments en el compte de deteriorament de valor de crèdits han estat els següents: L'aplicació per anul·lació de drets o cobraments de l'exercici, per import de
Amounts and variations in the Credit Impairment Losses Account were as follows:	40.943.550,78 euros, s'han registrat amb càrrec al compte de resultat econòmic
The application for writing-off the rights or collections of the financial year, amounting to €40,943,550.78, has been charged to the income and expenditure account, while the rest, which amounts to €60,623,106.54, has been charged to net equity, as it corresponds to writing-off closed budgets rights due to the cancellation of the settlements for which it was recognised.	patrimonial mentre que la resta, per un import de 60.623.106,54 euros, s'han registrat amb càrrec al patrimoni net, atès que corresponen a anul·lacions de drets de pressupostos tancats amb motiu de l'anul·lació de les liquidacions per les que foren reconegudes.
b) Cash and other liquid assets.	b) Efectiu i altres actius líquids.
The balance under this item at the close of the financial year has a total of 76 bank accounts presenting the following overall movements:	A la data de tancament de l'exercici el saldo d'aquest epígraf està integrat per un total de 76 comptes bancaris que han presentat el següent moviment global:
The balances as of 31 December include balances that appeared on that date as temporary financial investments.	Als saldos a 31 de desembre s'inclou els saldos que a la data figuraven com a inversions financeres temporals.
c) Investment policy	c) Política d'inversions
As for temporary liquidity surpluses, the conditions for implementing Barcelona City Council's budget establish that they may be capitalised through investments that meet the conditions for liquidity and security provided for under Royal Decree	En relació als excedents temporals de tresoreria, les bases d'execució del pressupost de l'Ajuntament de Barcelona determinen que es podran rendibilitzar
2/2004 TRLRHL.	mitjançant inversions que reuneixin les condicions de liquiditat i seguretat previstes en el Real Decret 2/2004 TRLRHL.
11. Financial liabilities	11. Passius financers
11.1. Position of and movements in debts with credit institutions	11.1. Situació i moviment dels deutes amb entitats de crèdit
a) Breakdown of debt maintained by the City Council at the close of the financial year and valued at depreciation cost	a) Detall dels deutes mantinguts per l'Ajuntament al tancament de l'exercici valorats a cost amortitzat
b) Breakdown of debt maintained by the City Council at fair value at the close of the financial year	b) Detall dels deutes mantinguts per l'Ajuntament al tancament de l'exercici a valor raonable
The City Council does not maintain financial liabilities at fair value on its balance sheet and did not record transactions during the financial year that had to be entered in the accounts at fair value.	L'Ajuntament no manté en balanç passius financers a valor raonable, ni durant l'exercici ha registrat operacions que haguessin de registrar-se a valor raonable.
c) Summary by category	c) Resum per categories
11.2. Credit lines	11.2. Línies de crèdit
During the financial year, the City Council did not take out any credit lines nor were any debts maintained for transactions of this kind on the closing date.	Durant l'exercici, l'Ajuntament no ha contractat cap línia de crèdit ni tampoc a la data de tancament es mantenen deutes per operacions d'aquesta naturalesa.
11.3. Information on exchange rate and interest rate risks	11.3. Informació sobre els riscos de tipus de canvi i de tipus d'interès
a) Exchange rate risks.	a) Riscos de tipus de canvi
The City Council has no debt in currency other than the euro and therefore has no risks of this kind.	L'Ajuntament no té deutes en moneda diferent de l'euro i, per tant, no té riscos d'aquest tipus.
b) Interest rate risks.	b) Riscos de tipus d'interès
The classification of the debt as of 31 December 2017 according to interest rate risk is as follows:	La classificació del deute a 31 de desembre de 2017 segons el risc de tipus d'interès és la següent:
11.4. Endorsements and other guarantees granted	11.4. Avals i altres garanties concedides
a) Endorsements granted	a) Avals concedits
The City Council did not grant any endorsements in favour of third parties during the financial year nor did it maintain any third-party endorsements on the closing date.	Durant l'exercici, l'Ajuntament no ha atorgat avals a favor de tercers, ni a la data de tancament manté avals atorgats a tercers.
b) Endorsements implemented	b) Avals executats
For the reason stated in section (a) above, no endorsements were implemented that the City Council was responsible for.	Per la raó que s'assenyala a l'apartat a) anterior no s'han executat avals dels que hagi de respondre l'Ajuntament.
c) Endorsements repaid	c) Avals reintegrats
By not maintaining any endorsements on behalf of third parties and not having endorsed third-party debts in previous financial years, no endorsements were repaid in favour of the City Council during the financial year.	En no mantenir avals a favor de tercers, ni haver de fer-se càrrec en exercicis anteriors de deutes de tercers, en l'exercici no s'han reintegrat avals a favor de l'Ajuntament.
11.5. Other information on debts with credit institutions	11.5. Altra informació relativa a deutes amb entitats de crèdit
The average cost of debt during the 2017 financial year was 2.11%, and the average life as of 31 December 2017 was 6.8 years.	El cost mitjà del deute durant l'exercici 2017 ha estat del 2,11%, i la vida mitjana a 31 de desembre de 2017 es situa en 6,8 anys.
The debt profile by maturity date as of 31 December 2017 is broken down below:	El perfil del deute per venciments a 31 de desembre de 2017 es detalla a continuació:
The City Council does not have any debts secured with collateral.	L'Ajuntament no manté deutes amb garantia real.
11.6. Other information relating to other debts	11.6. Altra informació relativa a altres deutes
a) Breakdown of debt maintained by the City Council at the close of the financial year and valued at depreciation cost	a) Detall dels deutes mantinguts per l'Ajuntament al tancament de l'exercici valorats a cost amortitzat
The total amount for the final negative settlement of the share in Spanish Central Government taxes corresponding to the 2008 financial year came to €93,487,000, whereas the figure for the 2009 financial year was also negative by €304,284,000. In accordance with the provisions set down in Act 2/2012 of 29 June, on General State Budgets for the year 2012, the term up to December 2014 for offsetting these negative settlements was 120 monthly instalments.	L'import total de la liquidació definitiva negativa de la participació als tributs de l'Estat corresponent a l'exercici 2008 va ascendir a 93.487 milers d'euros, mentre que la corresponent a l'exercici 2009 va ser també negativa per 304.284 milers d'euros. D'acord amb allò previst a la Llei 2/2012, de 29 de juny, de Pressupostos Generals de l'Estat de l'exercici 2012, el termini fins a desembre 2014 de compensació d'aquestes liquidacions negatives era de 120 mensualitats. La disposició addicional única del Reial decret llei 12/2014, de 12 de setembre, establia modificacions en el procediment de reintegrament dels saldos deutors a favor de la Hisenda Pública derivats de les liquidacions definitives de les participacions als tributs de l'Estat dels exercicis 2008 i 2009, regulats a la
The sole additional provision in Royal Decree Act 12/2014 of 12 September, established amendments to the procedure for paying receivables to the Public Treasury arising from final settlements of shares in Spanish Central Government taxes for the financial years 2008 and 2009, as regulated by Act 2/2012 of 29 June, on the State's budgets for the year 2012, and allowed, as at January 2015 and subject to authorisation, extensions to the terms for paying the above-mentioned receivables in 120 additional monthly instalments. The negative settlement for 2008 matures during the 2011-2031 period while the negative settlement for 2009 matures during the 2012-2031 period. The amount maturing in the 2018 financial year is entered in the accounts under the “Other short-term debts” item.	Llei 2/2012, de 29 de juny, de pressupostos de l'estat per a l'any 2012, i ha permès, a partir de gener de 2015 i prèvia autorització, l'ampliació del termini de reintegrament dels esmentats saldos deutors durant 120 mensualitats addicionals. La liquidació negativa del 2008 te venciment durant el període 2011-2031 i la liquidació negativa del 2009 venç durant el període 2012-2031. L'import amb venciment a l'exercici 2018 es troba registrat a l'epígraf d'altres deutes a curt termini.
b) Breakdown of debt maintained by the City Council at fair value at the close of the financial year	b) Detall dels deutes mantinguts per l'Ajuntament al tancament de l'exercici a valor raonable
The City Council does not maintain financial liabilities at fair value on its balance sheet and did not record transactions during the financial year that had to be entered in the accounts at fair value.	L'Ajuntament no manté en balanç passius financers a valor raonable, ni durant l'exercici ha registrat operacions que haguessin de registrar-se a valor raonable.
c) Summary by category	c) Resum per categories
11.7. Other information relating to debt with entities of the group, multigroup and associates	11.7. Altra informació relativa a deutes amb entitats del grup, multigrup i associades
Short-term debts with entities of the group, multi-group and associates are broken down below:	Els deutes amb entitats del grup, multigrup i associades es detallen a continuació:
11.8. Short-term creditors and other accounts payable	11.8. Creditors i altres comptes a pagar a curt termini
The balance under this item is detailed below:	El detall del saldo d'aquest epígraf es detalla a continuació:
11.9. Information on the average payment period to suppliers: Third Additional Provision, “Duty to supply information” of Act 15/2010 of 5 July	11.9. Informació sobre el període mig de pagament a proveïdors: Disposició addicional tercera, “Deure d'informació” de la Llei 15/2010, de 5 de juliol
The following information is provided with regard to the provisions in Act 15/2010 of 5 July, on measures against arrears in commercial transactions, and to the obligations of contracts entered into on 31 December 2017:	En relació al que preveu la Llei 15/2010, de 5 de juliol, de mesures de lluita contra la morositat en operacions comercials, i pel que fa a les obligacions dels contractes formalitzats a data 31 de desembre de 2017 es facilita la següent informació:
The City Council did not default on any of its incurred debts, keeping to the payment deadlines in accordance with the applicable regulations.	L'Ajuntament no ha impagat cap dels deutes contrets, mantenint els terminis de pagament d'acord amb la normativa que li resulta d'aplicació.
12. Accounting hedges	12. Cobertures comptables
Barcelona City Council has a current accounting hedge worth a total of €60,000,000 as of 31 December 2017. This accounting hedge corresponds to a financial interest rate swap under contract to offset variations in the cash flows of the hedged item, given the interest rate risk it is effectively exposed to. The hedged item corresponds to a Schuldschein loan of €60M	L'Ajuntament de Barcelona manté vigent una cobertura comptable per import total de 60.000.000,00 euros a 31 de desembre de 2017. Aquesta cobertura comptable correspon a una permuta financera de tipus d'interès contractada per compensar les variacions en els fluxos d'efectiu de la partida coberta donat el risc de tipus d'interès al que està efectivament exposat. La naturalesa de la partida coberta correspon a un préstec schuldschein de 60M€.
More specifically, the details of the accounting hedge valid as of 31/12/2017 are as follows:	Concretament, el detall de la cobertura comptable vigent a 31/12/2017 és el següent:
	Donat que es compleixen els requisits definits per la IMNCL, l'instrument de
Given that the requirements established by the IMNCL were met, the interest rate hedge instrument that Barcelona City Council kept current as at 31 December 2017 is valued under the same criterion as the hedged item: value at depreciated cost. In that sense, the ledger value of the hedge at the start and close of the 2017 financial years is €60M.	cobertura de tipus d'interès que l'Ajuntament de Barcelona manté vigent a 31 de desembre de 2017 es valora amb el mateix criteri que la partida coberta i que és el de valor a cost amortitzat. En aquest sentit el valor comptable de la cobertura a l'inici i tancament de l'exercici 2017 és de 60M€.
13. Assets constructed or acquired for other entities and other inventories	13. Actius construïts o adquirits per a altres entitats i altres existències
No transactions of this nature took place during the financial year nor were settlements derived from such transactions kept on the balance sheet on the closing date.	No s'han produït operacions d'aquesta naturalesa durant l'exercici, ni a la data de tancament es mantenen en balanç saldos derivats d'aquestes operacions.
14. Foreign currency	14. Moneda estrangera
At the close of the 2017 financial year, the City Council had two current accounts in US dollars, with a balance of $18,000 and €34,000. Their corresponding value on the books as of 31 December 2017 was €15,008.75 and €28,349.87 respectively. The differences in recognised value in the financial year for this concept came to €5,972.55.	A la data de tancament de l'exercici 2017, l'Ajuntament disposa de dos comptes corrents en dòlars, amb un saldo de 18.000 dòlars i 34.000 dòlars. El seu contravalor en llibres a 31 de desembre de 2017 és de 15.008,75 euros i 28.349,87 euros respectivament. Les diferències de valor reconegudes en l'exercici per aquest concepte ascendeixen a 5.972,55 euros.
15. Transfers, subsidies and other income and expenditure	15. Transferències, subvencions i altres ingressos i despeses
15.1. Transfers and subsidies received	15.1. Transferències i subvencions rebudes
15.2. Expenditure	15.2. Despeses
a) Transfers and subsidies granted	a) Transferències i subvencions atorgades
No repayments were made owing to breach of conditions or requirements for using the subsidies.	No s'han produït reintegraments per incompliment de les condicions o requisits per a gaudir de les subvencions.
b) Provisions and services	b) Subministraments i serveis
16. Provisions and contingencies	16. Provisions i contingències
The breakdown of variations during the financial year in the provisions recognised on the liabilities' side of the balance sheet, both short- and long-term, was as follows:	El detall del moviment durant l'exercici de les provisions reconegudes en el passiu del balanç, tant a curt com a llarg termini, ha estat el següent:
The settlement of the provision is aimed at covering the financial costs of contingent or probable obligations.	El saldo de la provisió té per objecte cobrir els costos econòmics d'aquelles obligacions de caràcter contingent o probable.
