en-cat	cat	en-sp	sp
Impairment	Deteriorament	
In the case of credit and other receivables, at least at the close of the financial	En el cas dels crèdits i altres partides a cobrar, almenys al tancament de l'exercici,	In the case of credit and other receivables, at least at the close of the financial	derecho. Como norma general, los costes de las transacciones se imputan al
year, the appropriate revisions are carried out to detect the need for making	s'efectuen les revisions oportunes per detectar la necessitat de practicar	year, the appropriate revisions are carried out to detect the need for making	resultado del ejercicio, excepto cuando su magnitud aconseja incorporarlos en el
valuation adjustments for impairment, in the event there is objective evidence that the amounts entered in the accounts will not be received in their entirety and it is advisable to revert them where they are no longer appropriate. Both the value adjustments and the reversals are recognised in the Income and Expenditure	correccions valoratives per deteriorament de valor, en cas d'evidència objectiva que no es cobraran els imports comptabilitzats en la seva integritat, així com la conveniència de revertir-les en aquells casos que ja no siguin procedents. Tant les correccions de valor com les reversions es reconeixen en el compte del resultat	valuation adjustments for impairment, in the event there is objective evidence that the amounts entered in the accounts will not be received in their entirety and it is advisable to revert them where they are no longer appropriate. Both the value adjustments and the reversals are recognised in the Income and Expenditure	valor del activo financiero. Se clasifican como no corriente cuando su vencimiento es superior a un año y como corriente cuando es inferior.
Account.	econòmic patrimonial.	Account.	Deterioro
The impairment of tax receivables is calculated by applying ratios on how collectable receivables are, calculated according to real historical series, on the settlement made individually for each of the tax figures and in each specific financial year.	El deteriorament dels deutors tributaris es calcula mitjançant l'aplicació de percentatges d'esperança de cobrament, basats en sèries històriques reals,	The impairment of tax receivables is calculated by applying ratios on how collectable receivables are, calculated according to real historical series, on the settlement made individually for each of the tax figures and in each specific financial year.	En el caso de los créditos y otras partidas a cobrar, al menos al cierre del ejercicio, se efectúan las revisiones oportunas para detectar la necesidad de practicar correcciones valorativas por deterioro de valor, en caso de evidencia objetiva de que no se cobrarán los importes contabilizados en su integridad, así como la conveniencia de revertirlas en aquellos casos en los que ya no sean procedentes. Tanto las correcciones de valor como las reversiones se reconocen en la cuenta del resultado económico patrimonial.
As a general rule, neither receivables for subsidies awarded by public bodies nor	sobre la liquidació efectuada a cadascuna de les figures tributàries de forma	As a general rule, neither receivables for subsidies awarded by public bodies nor	El deterioro de los deudores tributarios se calcula mediante la aplicación de
	individualitzada, i en cada exercici concret.	
receivables guaranteed in the corresponding percentages are subject to impairment.	Com a regla general, no són objecte de deteriorament els crèdits a cobrar per	receivables guaranteed in the corresponding percentages are subject to impairment.	porcentajes de esperanza de cobro, basados en series históricas reales, sobre la
		liquidación efectuada a cada una de las figuras tributarias de forma individualizada y en cada ejercicio concreto.
		Como regla general, no son objeto de deterioro los créditos a cobrar por
	subvencions atorgades per organismes públics, així com els garantits en els		subvenciones otorgadas por organismos públicos, así como los garantizados en los porcentajes correspondientes.
	percentatges corresponents.	
Where the equity instruments originate from capital fund contributions, the	En el cas dels instruments de patrimoni amb origen amb aportacions de fons	Where the equity instruments originate from capital fund contributions, the	En el caso de los instrumentos de patrimonio con origen con aportaciones de
recoverable amount is used to determine the amount of the adjustment value,	patrimonials, per determinar l'import de la correcció valorativa es considera	recoverable amount is used to determine the amount of the adjustment value,	fondo patrimoniales, para determinar el importe de la corrección valorativa se
that being understood as the larger amount between the fair value less the sale	l'import recuperable, entenent aquest com el major import entre el seu valor	that being understood as the larger amount between the fair value less the sale	considera el importe recuperable, entendiendo este como el mayor importe entre
expenditure and the current value of the cash flows derived from the investment.	raonable menys les despeses de venda i el valor actual dels fluxos d'efectiu	expenditure and the current value of the cash flows derived from the investment.	su valor razonable menos los gastos de venta y el valor actual de los flujos de
For want of better evidence of the recoverable value, account has been taken, in	derivats de la inversió. Excepte millor evidència de l'import recuperable, en	For want of better evidence of the recoverable value, account has been taken, in	efectivo derivados de la inversión. Salvo mejor evidencia del importe recuperable,
estimating the impairment of these investments, of the net equity of the subsidiary	l'estimació del deteriorament d'aquestes inversions es pren en consideració el	estimating the impairment of these investments, of the net equity of the subsidiary	en la estimación del deterioro de estas inversiones se toma en consideración el
entity corrected for the adjusted changes for the unrealised capital gain on their valuation date.	patrimoni net de l'entitat participada corregit per les plusvàlues tàcites existents en la data de valoració.	entity corrected for the adjusted changes for the unrealised capital gain on their	patrimonio neto de la entidad participada corregido por las plusvalías tácitas
	valuation date.	existentes en la fecha de valoración.
Both the above-mentioned valuation adjustments for impairment and their reversal	Les citades correccions valoratives per deteriorament, així com la seva reversió, es	Both the above-mentioned valuation adjustments for impairment and their reversal	Las citadas correcciones valorativas por deterioro, así como su reversión, se
are entered in the accounts as an expense or an income, respectively, in the financial year's results.	reconeixen com una despesa o un ingrés, respectivament, en el resultat de l'exercici. Baixa d'actius financers	are entered in the accounts as an expense or an income, respectively, in the financial year's results.	reconocen como un gasto o un ingreso, respectivamente, en el resultado del ejercicio.
Write-offs of financial assets	Es registra la baixa d'un actiu financer o d'una part del mateix quan ha expirat	Write-offs of financial assets	Baja de activos financieros
A financial asset is wholly or partly written off in the accounts where it has expired or the rights over the cash flows it generates and the risks and advantages inherent in its ownership have been substantially assigned.	o s'han transmès els drets sobre els fluxos d'efectiu que genera i els riscos i avantatges inherents a la seva propietat de forma substancial.	A financial asset is wholly or partly written off in the accounts where it has expired or the rights over the cash flows it generates and the risks and advantages inherent in its ownership have been substantially assigned.	Se registra la baja de un activo financiero o de una parte de este cuando ha expirado o se han transmitido los derechos sobre los flujos de efectivo que genera y los riesgos y ventajas inherentes a su propiedad de forma sustancial.
4.7.2. Financial liabilities	4.7.2. Passius financers	4.7.2. Financial liabilities	4.7.2. Pasivos financieros
All financial liabilities are classed under the category of financial liabilities at depreciated cost. They include:	La totalitat dels passius financers es classifiquen en la categoria de passius financers a cost amortitzat. Inclouen:	All financial liabilities are classed under the category of financial liabilities at depreciated cost. They include:	La totalidad de los pasivos financieros se clasifican en la categoría de pasivos financieros a coste amortizado. Incluyen:
• Debt and accounts payable for transactions arising from usual activities.	• Dèbits i partides a pagar per operacions derivades de l'activitat habitual.	• Debt and accounts payable for transactions arising from usual activities.	• Débitos y partidas a pagar por operaciones derivadas de la actividad habitual.
• Debts with credit institutions.	• Deutes amb entitats de crèdit.	• Debts with credit institutions.	• Deudas con entidades de crédito.
• Debt represented in negotiated securities issued.	• Deutes representats en valors negociables emesos.	• Debt represented in negotiated securities issued.	• Deudas representadas en valores negociables emitidos.
• Other debt and accounts payable.	• Altres dèbits i partides a pagar.	• Other debt and accounts payable.	• Otros débitos y partidas a pagar.
As a general rule, short-term debt and accounts payable without contractual interest are valued, on both initial and subsequent entering into the accounts, according to their nominal value. The same valuation is made with long-term debt and accounts payable and long-term loans received with subsidised interest where the overall effect of not updating the flows is not significant. Where it is significant, they are initially valued at the current value of the cash flows payable, at a rate equivalent to that which applies for deferred payments and, subsequently, at depreciated cost, and the accrued interest is entered in the books according to its effective rate as income for the financial year. In any case, guarantees and deposits received are always valued according to received value.	Com a norma general, els dèbits i les partides a pagar amb venciment a curt termini sense interès contractual es valoren, tant en el moment del reconeixement inicial com posteriorment, pel seu valor nominal. La mateixa valoració es realitza amb els de venciment a llarg termini i els préstecs rebuts a llarg termini amb interessos subvencionats quan l'efecte global de no actualitzar els fluxos no és significatiu. En cas que sigui significatiu, es valoren inicialment pel valor actual dels fluxos d'efectiu a pagar, sobre una taxa equivalent a l'aplicable als pagaments ajornats i, posteriorment, a cost amortitzat, reconeixent els interessos meritats en funció del seu tipus d'interès efectiu com a ingressos de l'exercici. En tot cas, les fiances i els dipòsits rebuts es valoren sempre per l'import rebut.	As a general rule, short-term debt and accounts payable without contractual interest are valued, on both initial and subsequent entering into the accounts, according to their nominal value. The same valuation is made with long-term debt and accounts payable and long-term loans received with subsidised interest where the overall effect of not updating the flows is not significant. Where it is significant, they are initially valued at the current value of the cash flows payable, at a rate	Como norma general, los débitos y las partidas a pagar con vencimiento a corto plazo sin interés contractual se valoran, tanto en el momento del reconocimiento inicial como posteriormente, por su valor nominal. La misma valoración se realiza con los de vencimiento a largo plazo y los préstamos recibidos a largo plazo con intereses subvencionados cuando el efecto global de no actualizar los flujos no es significativo. En caso de que sea significativo, se valoran inicialmente por el valor actual de los flujos de efectivo a pagar, sobre una tasa equivalente a la aplicable a los pagos aplazados y, posteriormente, a coste amortizado, reconociendo los intereses devengados en función de su tipo de interés efectivo como ingresos del ejercicio.
	equivalent to that which applies for deferred payments and, subsequently, at	En todo caso, las fianzas y los depósitos recibidos se valoran siempre por el importe recibido.
	depreciated cost, and the accrued interest is entered in the books according to its effective rate as income for the financial year. In any case, guarantees and deposits received are always valued according to received value.	
Recognition	Reconeixement	Recognition	Reconocimiento
The financial liabilities are entered in the accounts on the date established in the contract or agreement on which basis the City Council incurs the obligation. In liquid asset transactions entered into with credit policies, debentures are incurred with the receipt of the successive liquid fund assets. They are classed as fixed or current respectively, depending on whether they mature in over or under one year.	El reconeixement comptable dels passius financers es realitza a la data establerta en el contracte o acord a partir de la qual l'Ajuntament contrau l'obligació. En les operacions de tresoreria formalitzades amb pòlissa de crèdit, les obligacions es contrauen amb la recepció de les successives disponibilitats de fons. Es classifiquen com a no corrent quan el seu venciment és superior a un any i com a corrent quan és inferior.	The financial liabilities are entered in the accounts on the date established in the contract or agreement on which basis the City Council incurs the obligation. In liquid asset transactions entered into with credit policies, debentures are incurred with the receipt of the successive liquid fund assets. They are classed as fixed or current respectively, depending on whether they mature in over or under one year.	El reconocimiento contable de los pasivos financieros se realiza en la fecha establecida en el contrato o acuerdo, a partir de la cual la entidad contrae la obligación. En las operaciones de tesorería formalizadas con póliza de crédito, las obligaciones se contraen con la recepción de las sucesivas disponibilidades de fondo. Se clasifican como no corriente cuando su vencimiento es superior a un año y como corriente cuando es inferior.
Financial liability write-offs	Baixa de passius financers	Financial liability write-offs	Baja de pasivos financieros
As a general rule, a financial liability is wholly or partly written off when the obligation incurred has been satisfied or cancelled. Where there is a difference between the accounting value and the consideration delivered, this is recorded in the Income and Expenditure Account for the financial year in which it takes place.	Com a norma general, es registra la baixa d'un passiu financer o d'una part del mateix quan l'obligació contreta s'ha complert o cancel·lat. En cas de produir-se una diferència entre el valor comptable i la contraprestació lliurada, es reconeixerà en el resultat de l'exercici que tingui lloc.	As a general rule, a financial liability is wholly or partly written off when the	
	obligation incurred has been satisfied or cancelled. Where there is a difference between the accounting value and the consideration delivered, this is recorded in the Income and Expenditure Account for the financial year in which it takes place.	Como norma general, se registra la baja de un pasivo financiero o de una parte de este cuando la obligación contraída se ha cumplido o cancelado. En caso de producirse una diferencia entre el valor contable y la contraprestación entregada, se reconocerá en el resultado del ejercicio que tenga lugar.
4.7.3. Financial guarantee contracts	4.7.3. Contractes de garanties financeres	4.7.3. Financial guarantee contracts	4.7.3. Contratos de garantías financieras
These are contracts that put the City Council under an obligation to make or receive specific payments to reimburse a third party for any loss incurred where a (“guaranteed”) debtor fails to meet its payment obligations generally arising from debt instruments such as a loan guarantee.	Són contractes que obliguen l'Ajuntament a fer o rebre uns pagaments específics pel reemborsament a un tercer per la pèrdua incorreguda quan un deutor (“garantit”) incompleix la seva obligació de pagament derivada, generalment, d'instruments de deute, tal com un aval.	These are contracts that put the City Council under an obligation to make or receive specific payments to reimburse a third party for any loss incurred where a (“guaranteed”) debtor fails to meet its payment obligations generally arising from debt instruments such as a loan guarantee.	Son contratos que obligan a la entidad a hacer o recibir unos pagos específicos por el reembolso a un tercero por la pérdida incurrida cuando un deudor (“garantizado”) incumple su obligación de pago derivada, generalmente, de instrumentos de deuda, tal como un aval.
The City Council had not entered into any financial guarantee contracts.	L'Ajuntament no té formalitzats contractes de garanties financeres.	The City Council had not entered into any financial guarantee contracts.	El Ayuntamiento no tiene formalizados contratos de garantías financieras.
4.8. Accounting hedges	4.8. Cobertures comptables	4.8. Accounting hedges	4.8. Coberturas contables
These are valued under the same criteria as hedged items, i.e. at depreciated cost. Currently, the City Council has exclusively covered interest hedging transactions.	Es valoren amb el mateix criteri que la partida coberta, és a dir, a cost amortitzat. En l'actualitat l'Ajuntament té subscrites operacions de cobertura de tipus d'interès, exclusivament.	These are valued under the same criteria as hedged items, i.e. at depreciated cost. Currently, the City Council has exclusively covered interest hedging transactions.	Se valoran con el mismo criterio que la partida cubierta, es decir, a coste amortizado. En la actualidad, el Ayuntamiento tiene suscritas operaciones de cobertura de tipo de interés, exclusivamente.
4.9. Inventories	4.9. Existències	4.9. Inventories	4.9. Existencias
The City Council has no assets regarded as inventories.	L'Ajuntament no té actius considerats existències.	The City Council has no assets regarded as inventories.	El Ayuntamiento no tiene activos considerados existencias.
4.10. Assets constructed or acquired for other entities	4.10. Actius construïts o adquirits per a altres entitats	4.10. Assets constructed or acquired for other entities	4.10. Activos construidos o adquiridos para otras entidades
The City Council has no assets constructed or acquired for other entities.	L'Ajuntament no té actius construïts o adquirits per a altres entitats.	The City Council has no assets constructed or acquired for other entities.	El Ayuntamiento no tiene activos construidos o adquiridos para otras entidades.
4.11. Transactions in foreign currency	4.11. Transaccions en moneda estrangera	4.11. Transactions in foreign currency	4.11. Transacciones en moneda extranjera
Transactions in a currency other than the euro are entered in the accounts as soon as they are recognised in euros, by applying the rate of exchange in the existing cash to the corresponding amount on the date of the transaction.	Les transaccions en moneda distinta de l'euro es registren en el moment del seu reconeixement en euros, aplicant a l'import corresponent el tipus de canvi al comptat existent en la data de l'operació.	Transactions in a currency other than the euro are entered in the accounts as soon as they are recognised in euros, by applying the rate of exchange in the existing cash to the corresponding amount on the date of the transaction.	Las transacciones en moneda distinta al euro se registran en el momento de su reconocimiento en euros, aplicando al importe correspondiente el tipo de cambio al contado existente en la fecha de la operación. 4.12. Ingresos y gastos
4.12. Income and expenditure	4.12. Ingressos i despeses	4.12. Income and expenditure	Los ingresos y los gastos se registran por el principio de devengo y, en los casos
		en los que sea pertinente, por el de correlación entre ambos.
Income and expenditure are entered in the accounts according to the accrual	Els ingressos i les despeses es registren pel principi de meritació i, en els casos que sigui pertinent, pel de correlació entre ambdós.	Income and expenditure are entered in the accounts according to the accrual	Presupuestariamente, los ingresos y gastos se incorporan a la liquidación
principle and, where appropriate, the correlation principle between both.	Pressupostàriament, els ingressos i despeses s'incorporen a la liquidació	principle and, where appropriate, the correlation principle between both.	presupuestaria en el momento en que se produce el acto administrativo de
As regards the budget, income and expenditure are incorporated into the budget settlement when the administrative procedure is produced, acknowledging the respective rights and debentures.	pressupostària en el moment en què es produeix l'acte administratiu de reconeixement dels respectius drets i obligacions.	As regards the budget, income and expenditure are incorporated into the budget settlement when the administrative procedure is produced, acknowledging the respective rights and debentures.	reconocimiento de los respectivos derechos y obligaciones.
4.12.1. Income	4.12.1. Ingressos	4.12.1. Income	4.12.1. Ingresos
a) Income and consideration	a) Ingressos amb contraprestacions	a) Income and consideration	a) Ingresos con contraprestaciones
As a general rule, income is entered in the accounts according to the fair value	Com a norma general, els ingressos es registren pel valor raonable de la	As a general rule, income is entered in the accounts according to the fair value	Como norma general, los ingresos se registran por el valor razonable de la
of the consideration and represents the receivables for goods delivered and	contraprestació i representen els imports a cobrar pels béns lliurats i els serveis	of the consideration and represents the receivables for goods delivered and services provided during the ordinary course of the City Council's activities, less repayments, write-offs, discounts and VAT, where appropriate.	contraprestación y representan los importes a cobrar por los bienes entregados y los servicios prestados en el curso ordinario de las actividades del Ayuntamiento, deducidas las devoluciones, las rebajas, los descuentos y el impuesto sobre el valor añadido, en su caso.
services provided during the ordinary course of the City Council's activities, less	prestats en el curs ordinari de les activitats de l'Ajuntament, deduïdes les	
repayments, write-offs, discounts and VAT, where appropriate.	devolucions, les rebaixes, els descomptes i l'Impost sobre el Valor Afegit, si escau.	
The City Council recognises income when its amount can be reliably valued: it is	L'Ajuntament reconeix els ingressos quan l'import d'aquests es pot valorar	The City Council recognises income when its amount can be reliably valued: it is	La entidad reconoce los ingresos cuando el importe se puede valorar con
probable that the City Council will receive the future financial gain and that the	amb fiabilitat; és probable que els beneficis econòmics futurs vagin a fluir a	probable that the City Council will receive the future financial gain and that the	fiabilidad; es probable que los beneficios económicos futuros vayan a fluir
specific conditions for each of the activities, as detailed below, will be met.	l'Ajuntament i es compleixen les condicions específiques per a cadascuna de les	specific conditions for each of the activities, as detailed below, will be met.	a la entidad, y se cumplen las condiciones específicas para cada una de las
	activitats tal com es detalla a continuació.	
Income from sales is registered when: the City Council has transferred to the	Els ingressos per vendes són registrats quan: l'Ajuntament ha transferit al	Income from sales is registered when: the City Council has transferred to the	
purchaser the risks and benefits derived from the ownership of the goods,	comprador els riscos i els avantatges derivats de la propietat dels béns, amb	purchaser the risks and benefits derived from the ownership of the goods,	actividades, tal como se detalla a continuación.
irrespective of ownership; it does not reserve for itself any involvement in the	independència de la propietat; no conserva per a si cap implicació en la gestió	irrespective of ownership; it does not reserve for itself any involvement in the	Los ingresos por ventas son registrados cuando la entidad ha transferido al
current management of the goods sold, nor does it retain effective control over	corrent dels béns venuts, ni reté el control efectiu sobre ells; i les despeses	current management of the goods sold, nor does it retain effective control over them; and the expenditure associated with the transaction can be reliably measured.	comprador los riesgos y las ventajas derivados de la propiedad de los bienes, con independencia de la propiedad; no conserva para sí ninguna implicación en la gestión corriente de los bienes vendidos, ni retiene el control efectivo sobre ellos; y los gastos asociados con la transacción pueden ser medidos con fiabilidad.
	associades amb la transacció poden ser mesurades amb fiabilitat.	Income for the provision of services is recorded when the results of the transaction can be reliably estimated, by considering the degree of progress or performance of the provision on the date of the annual accounts or under the straight-line	Los ingresos para la prestación de servicios se reconocen cuando el resultado de
them; and the expenditure associated with the transaction can be reliably measured.	Els ingressos per a la prestació de serveis es reconeixen quan el resultat de la	
Income for the provision of services is recorded when the results of the transaction can be reliably estimated, by considering the degree of progress or performance of the provision on the date of the annual accounts or under the straight-line	transacció pot ser estimat amb fiabilitat, considerant el grau d'avanç o realització de la prestació a la data dels comptes anuals, o de forma lineal quan el servei es	
method where the service is provided during a specific period.	presta durant un període determinat.	method where the service is provided during a specific period. Where the results cannot be reliably estimated, the income is entered in the	la transacción puede ser estimado con fiabilidad, considerando el grado de avance o realización de la prestación en la fecha de las cuentas anuales, o de forma lineal cuando el servicio se presta durante un periodo determinado.
Where the results cannot be reliably estimated, the income is entered in the	Quan no pot ser estimat de forma fiable, els ingressos són reconeguts en la	
accounts according to the total expenditure recognised that is deemed recoverable.	quantia de les despeses reconegudes que es consideren recuperables.	accounts according to the total expenditure recognised that is deemed recoverable.	Cuando no puede ser estimado de forma fiable, los ingresos son reconocidos en la cuantía de los gastos reconocidos que se consideran recuperables.
b) Income without consideration	b) Ingressos sense contraprestacions	b) Income without consideration	b) Ingresos sin contraprestaciones
In the case of taxes, income is entered in the accounts, as is the asset, when the	En el cas dels impostos es reconeixerà l'ingrés i l'actiu quan tingui lloc el fet	In the case of taxes, income is entered in the accounts, as is the asset, when the	En el caso de los impuestos, se reconocerá el ingreso y el activo cuando tenga
taxable transaction takes place and the asset's recognition criteria are satisfied.	imposable i es satisfacin els criteris de reconeixement de l'actiu.	taxable transaction takes place and the asset's recognition criteria are satisfied.	lugar el hecho imponible y se satisfagan los criterios de reconocimiento del activo.
As for fines and penalties, these are entered in the accounts when the right to receive them arises.	En el cas de les multes i sancions es reconeixen quan sorgeix el dret a cobrar-les.	As for fines and penalties, these are entered in the accounts when the right to	En el caso de las multas y sanciones, se reconocen cuando surge el derecho a
	receive them arises.	cobrarlas.
In the case of fines, the right to collect is recognised as soon as the enforcement	Per a les multes el dret de cobrament es reconeix en el moment que s'estableix	In the case of fines, the right to collect is recognised as soon as the enforcement of the act is established.	Para las multas, el derecho de cobro se reconoce en el momento en que se establece la ejecutividad del acto de imposición.
of the act is established.	l'executivitat de l'acte d'imposició.	
4.12.2. Expenditure	4.12.2. Despeses	4.12.2. Expenditure	4.12.2. Gastos
Staff and other ordinary management expenses are entered in the Income and Expenditure Account when the obligation falls due, irrespective of when the current monetary expense that comes from it is incurred.	Les despeses de personal i altres despeses de gestió ordinària es reconeixen en el compte del resultat en el moment que merita l'obligació, amb independència del moment en què es produeixi el corrent monetari que se'n deriva.	Staff and other ordinary management expenses are entered in the Income and Expenditure Account when the obligation falls due, irrespective of when the current monetary expense that comes from it is incurred.	Los gastos de personal y otros gastos de gestión ordinaria se reconocen en la cuenta del resultado en el momento en que devenga la obligación, con independencia del momento en que se produzca la corriente monetaria que se deriva.
4.13. Provisions and contingencies	4.13. Provisions i contingències	4.13. Provisions and contingencies	4.13. Provisiones y contingencias
A provision is entered in the accounts where the City Council has a present (legal, contractual or implied) obligation resulting from a past event which will probably involve the delivery of resources that can be reliably estimated.	Es reconeix una provisió quan l'Ajuntament té una obligació present (legal, contractual o implícita) resultat d'un succés passat que, probablement, implicarà el lliurament d'uns recursos que es poden estimar de forma fiable.	A provision is entered in the accounts where the City Council has a present (legal, contractual or implied) obligation resulting from a past event which will probably involve the delivery of resources that can be reliably estimated.	Se reconoce una provisión cuando la entidad tiene una obligación presente (legal, contractual o implícita) resultado de un suceso pasado que, probablemente, implicará la entrega de unos recursos que se pueden estimar de forma fiable.
Provisions are valued according to the current value of the payments expected to be necessary for settling the obligation, updated to a rate of discount equivalent to the type of public debt for an analogous maturity. Adjustments to provisions for the purposes of their updating are entered in the accounts as a financial expense as they are reported. Where the maturity is under or equal to one year and the financial effect is not significant they are not discounted.	Les provisions es troben valorades pel valor actual dels desemborsaments que s'espera que seran necessaris per liquidar l'obligació, actualitzats a una taxa de descompte equivalent al tipus de deute públic per un venciment anàleg. Els ajustaments en la provisió amb motiu de la seva actualització es reconeixen com una despesa financera a mesura que es van reportant. Quan el seu venciment és inferior o igual a un any i l'efecte financer no és significatiu, no es descompten.	Provisions are valued according to the current value of the payments expected to be necessary for settling the obligation, updated to a rate of discount equivalent to the type of public debt for an analogous maturity. Adjustments to provisions for the purposes of their updating are entered in the accounts as a financial expense as they are reported. Where the maturity is under or equal to one year and the financial effect is not significant they are not discounted. Provisions or contingencies arising from claims, procedures, lawsuits or litigation, or that have had a ruling or been settled in the tax year, are not recorded if their estimated amount is fully covered by current insurance policies or similar instruments,	Las provisiones se encuentran valoradas por el valor actual de los desembolsos que se espera que sean necesarios para liquidar la obligación, actualizados a una tasa de descuento equivalente al tipo de deuda pública por un vencimiento análogo. Los ajustes en la provisión con motivo de su actualización se reconocen como un gasto financiero a medida que se van reportando. Cuando su vencimiento es inferior o igual a un año y el efecto financiero no es significativo, no se descuentan.
Provisions or contingencies arising from claims, procedures, lawsuits or litigation, or that have had a ruling or been settled in the tax year, are not recorded if their estimated amount is fully covered by current insurance policies or similar instruments,	Les provisions o contingències provinents de reclamacions, procediments, judicis o litigis en procés, o que hagin tingut sentència o hagin estat resolts en l'exercici, no es registren si el seu import estimat en contra es troba íntegrament cobert mitjançant pòlisses vigents o similars.	Provisions are subject to review and adjusted, where necessary, at the close of the financial year, to reflect the best existing estimate at the time. Where they are no longer relevant or probable, they are then reverted under a balancing entry in the financial year's corresponding income account.	Al cierre del ejercicio, las provisiones son objeto de revisión y ajustadas, en su caso, para reflejar la mejor estimación existente en este momento. Cuando no son ya pertinentes o probables, se procede a su reversión con contrapartida en la correspondiente cuenta de ingreso del ejercicio.
Provisions are subject to review and adjusted, where necessary, at the close of the financial year, to reflect the best existing estimate at the time. Where they are no longer relevant or probable, they are then reverted under a balancing entry in the financial year's corresponding income account.	Al tancament de l'exercici, les provisions són objecte de revisió i ajustades, si escau, per a reflectir la millor estimació existent en aquest moment. Quan no són ja pertinents o probables, es procedeix a la seva reversió amb contrapartida al corresponent compte d'ingrés de l'exercici.	
For the purposes of quantifying the provisions, reference is made to internal and external expert reports and to the City Council's experience in similar matters, which enable a basis to be established for the estimates of each of the possible outcomes, as well as their financial effects.	Per a la quantificació de les provisions, es recorre a informes interns i, si escau, d'experts externs, i a l'experiència de l'Ajuntament en successos similars, que permetin establir la base de les estimacions de cadascun dels desenllaços possibles, així com del seu efecte financer.	For the purposes of quantifying the provisions, reference is made to internal and external expert reports and to the City Council's experience in similar matters, which enable a basis to be established for the estimates of each of the possible outcomes, as well as their financial effects.	Para la cuantificación de las provisiones, se recurre a informes internos y, si procede, de expertos externos, y a la experiencia de la entidad en sucesos similares, que permitan establecer la base de las estimaciones de cada uno de los desenlaces posibles, así como de su efecto financiero.
As regards consortia, the existing risk is recorded, according to the City Council's share, in the organisations that have a negative net equity.	En el cas dels consorcis es recull el risc existent, en funció de la participació de l'Ajuntament, en aquells ens que tenen un patrimoni net negatiu.	As regards consortia, the existing risk is recorded, according to the City Council's share, in the organisations that have a negative net equity.	En el caso de los consorcios, se recoge el riesgo existente, en función de la participación del Ayuntamiento, en aquellos entes que tienen un patrimonio neto negativo.
4.14. Transfers and subsidies	4.14. Transferències i subvencions	4.14. Transfers and subsidies	4.14. Transferencias y subvenciones
4.14.1. Transfers and subsidies received	4.14.1. Transferències i subvencions rebudes	4.14.1. Transfers and subsidies received	4.14.1. Transferencias y subvenciones recibidas
Refundable subsidies are entered in the accounts as liabilities until they meet the conditions for consideration as non-refundable, whereas non-refundable subsidies are recorded as income allocated to net equity and are entered in the accounts as income on a systematic and rational basis that correlates to subsidy-derived expenditure.	Les subvencions que tinguin caràcter reintegrable es registren com a passius fins que compleixin les condicions per a considerar-se no reintegrables, mentre que les subvencions no reintegrables es registren coma ingressos directament imputats al patrimoni net i es reconeixen com a ingressos sobre una base sistemàtica i racional de forma correlacionada amb les despeses derivades de la subvenció.	Refundable subsidies are entered in the accounts as liabilities until they meet the conditions for consideration as non-refundable, whereas non-refundable subsidies are recorded as income allocated to net equity and are entered in the accounts as income on a systematic and rational basis that correlates to subsidy-derived expenditure.	Las subvenciones que tengan carácter reintegrable se registran como pasivos hasta que cumplan las condiciones para considerarse no reintegrable, mientras que las subvenciones no reintegrables se registran como ingresos directamente imputados al patrimonio neto y se reconocen como ingresos sobre una base sistemática y racional de forma correlacionada con los gastos derivados de la subvención.
For these purposes, a subsidy is deemed non-refundable where there is a customised agreement for granting it and where all the conditions established for granting it have been met and there are no reasonable doubts that it will be received.	A aquests efectes, una subvenció es considera no reintegrable quan existeix un acord individualitzat de concessió de la subvenció i s'han complert totes les condicions establertes per a la seva concessió i no existeixen dubtes raonables de que es cobrarà.	For these purposes, a subsidy is deemed non-refundable where there is a customised agreement for granting it and where all the conditions established for granting it have been met and there are no reasonable doubts that it will be received.	A estos efectos, una subvención se considera no reintegrable cuando existe un acuerdo individualizado de concesión de la subvención y se han cumplido todas las condiciones establecidas para su concesión y no existen dudas razonables de que se cobrará.
Monetary subsidiaries are valued according to the fair value of the referred amount granted when entered in the accounts.	Les subvencions de caràcter monetari es valoren pel valor raonable de l'import concedit referit al moment del seu reconeixement.	Monetary subsidiaries are valued according to the fair value of the referred amount granted when entered in the accounts.	Las subvenciones de carácter monetario se valoran por el valor razonable del importe concedido referido al momento de su reconocimiento.
Non-refundable grants relating to the purchase of tangible fixed assets are	Les subvencions no reintegrables relacionades amb l'adquisició de l'immobilitzat material s'imputen com a ingressos de l'exercici en proporció a l'amortització dels corresponents actius o, en el seu cas, quan es produeixi la venda, correcció valorativa per deteriorament o baixa en el balanç.	Non-refundable grants relating to the purchase of tangible fixed assets are	Las subvenciones no reintegrables relacionadas con la adquisición del inmovilizado material se imputan como ingresos del ejercicio en proporción a la amortización de los correspondientes activos o, en su caso, cuando se produzca la venta, corrección valorativa por deterioro o baja en el balance.
allocated as income for the financial year in proportion to the depreciation of the corresponding assets or, where appropriate, where there is a sale, valuation	D'altra banda, les subvencions no reintegrables relacionades amb despeses específiques es reconeixen en el compte del resultat econòmic patrimonial en el mateix exercici en què es meriten les corresponents despeses.	allocated as income for the financial year in proportion to the depreciation of	Por otra parte, las subvenciones no reintegrables relacionadas con gastos
	the corresponding assets or, where appropriate, where there is a sale, valuation	específicos se reconocen en la cuenta del resultado económico patrimonial en el mismo ejercicio en que se devengan los correspondientes gastos.
